"","names","contbr_city","contbr_st","n","location","lat","lon"
"299","Webb","SCHILLER PARK","IL",2," SCHILLER PARK",41.95586,-87.8709
"300","Webb","SEATAC","WA",1," SEATAC",47.44846,-122.29217
"301","Webb","SEATTLE","WA",3," SEATTLE",47.60621,-122.33207
"302","Webb","SEMINOLE","AL",2," SEMINOLE",28.71698,-81.2363
"303","Webb","SILVER SPRING","MD",1," SILVER SPRING",38.99067,-77.02609
"304","Webb","SIOUX FALLS","SD",4," SIOUX FALLS",43.54997,-96.70033
"305","Webb","SOMERVILLE","AL",1," SOMERVILLE",42.3876,-71.0995
"306","Webb","SOUTH EASTON","MA",1," SOUTH EASTON",40.67982,-75.21212
"307","Webb","SOUTH GLASTONBURY","CT",1," SOUTH GLASTONBURY",41.66704,-72.59676
"308","Webb","SOUTHLAKE","TX",1," SOUTHLAKE",32.94124,-97.13418
"309","Webb","SPOTSYLVANIA","VA",7," SPOTSYLVANIA",38.18502,-77.65597
"310","Webb","SPRINGFIELD","VA",5," SPRINGFIELD",37.21533,-93.29824
"311","Webb","ST PETE BEACH","FL",1," ST PETE BEACH",27.72531,-82.74121
"312","Webb","STAMFORD","CT",1," STAMFORD",41.05343,-73.53873
"313","Webb","STATEN ISLAND","NY",2," STATEN ISLAND",40.56233,-74.13986
"314","Webb","STERLING","VA",1," STERLING",39.00622,-77.4286
"315","Webb","SUMMERVILLE","SC",1," SUMMERVILLE",33.0185,-80.17565
"316","Webb","SUN CITY CENTER","FL",1," SUN CITY CENTER",27.71809,-82.35176
"317","Webb","SUN CITY WEST","AZ",1," SUN CITY WEST",33.66198,-112.34127
"318","Webb","SUNAPEE","NH",1," SUNAPEE",43.38757,-72.08786
"319","Webb","SUNNYVALE","CA",1," SUNNYVALE",37.36883,-122.03635
"320","Webb","SWOYERSVILLE","PA",2," SWOYERSVILLE",41.29175,-75.87464
"321","Webb","TACOMA","WA",1," TACOMA",47.25288,-122.44429
"322","Webb","TAKOMA PARK","MD",1," TAKOMA PARK",38.97789,-77.00748
"323","Webb","TALLAHASSEE","FL",1," TALLAHASSEE",30.43826,-84.28073
"324","Webb","TAMPA","FL",1," TAMPA",27.94752,-82.45843
"325","Webb","THE VILLAGES","FL",1," THE VILLAGES",28.93408,-81.95994
"326","Webb","THORNTOWN","IN",1," THORNTOWN",40.12948,-86.60667
"327","Webb","THOUSAND OAKS","CA",1," THOUSAND OAKS",34.17056,-118.83759
"328","Webb","TIBURON","CA",2," TIBURON",37.87354,-122.45664
"329","Webb","TIGARD","OR",1," TIGARD",45.43123,-122.77149
"330","Webb","TILGHMAN","MD",10," TILGHMAN",38.71706,-76.33439
"331","Webb","TOPANGA","CA",2," TOPANGA",34.08927,-118.60436
"332","Webb","TOWSON","MD",1," TOWSON",39.4015,-76.60191
"333","Webb","TROY","VA",1," TROY",42.60559,-83.14993
"334","Webb","TUCSON","AZ",1," TUCSON",32.22174,-110.92648
"335","Webb","VANCOUVER","WA",1," VANCOUVER",49.24966,-123.11934
"336","Webb","VASHON","WA",1," VASHON",47.44732,-122.45985
"337","Webb","VENTURA","CA",1," VENTURA",34.27834,-119.29317
"338","Webb","VERO BEACH","FL",1," VERO BEACH",27.63864,-80.39727
"339","Webb","VIENNA","VA",5," VIENNA",48.20849,16.37208
"340","Webb","VIRGINIA BEACH","VA",3," VIRGINIA BEACH",36.85293,-75.97798
"341","Webb","WAKE FOREST","NC",1," WAKE FOREST",35.97987,-78.50972
"342","Webb","WALTHAM","MA",1," WALTHAM",42.37649,-71.23561
"343","Webb","WARRENTON","VA",2," WARRENTON",-28.11396,24.84753
"344","Webb","WASHINGTON","CT",1," WASHINGTON",47.50012,-120.50147
"345","Webb","WASHINGTON","DC",22," WASHINGTON",47.50012,-120.50147
